frequency_Hz,period_s,power_A0,power_A1,power_A2,above_1pct_FAP_A0,above_1pct_FAP_A1,above_1pct_FAP_A2
0.01088690,91.85,17.857327,1.680646,7.205167,1,0,0
0.01101608,90.78,20.442359,0.992205,0.836120,1,0,0
0.01114679,89.71,9.651420,0.068840,2.107610,0,0,0
0.01127905,88.66,0.873645,0.996803,3.430763,0,0,0
0.01141289,87.62,3.006016,0.110587,0.571482,0,0,0
0.01154831,86.59,3.461045,0.971292,0.179135,0,0,0
0.01168534,85.58,0.241378,1.027562,0.065129,0,0,0
0.01182399,84.57,2.827672,0.459190,0.192399,0,0,0
0.01196429,83.58,7.333193,0.639455,0.119783,0,0,0
0.01210625,82.60,4.147195,0.522132,0.818576,0,0,0
0.01224990,81.63,2.165507,1.290343,2.282156,0,0,0
0.01239525,80.68,7.556183,1.519701,2.371462,0,0,0
0.01254233,79.73,5.961354,0.311280,0.864738,0,0,0
0.01269115,78.80,12.072622,2.498116,1.237056,1,0,0
0.01284174,77.87,5.856209,1.109241,0.085516,0,0,0
0.01299412,76.96,2.949576,2.050283,1.515269,0,0,0
0.01314830,76.06,7.119308,2.898891,1.547973,0,0,0
0.01330432,75.16,3.007994,0.791780,0.458406,0,0,0
0.01346218,74.28,0.022048,0.198928,0.001909,0,0,0
0.01362192,73.41,11.308168,2.985826,0.932265,1,0,0
0.01378355,72.55,17.382008,3.913916,0.958663,1,0,0
0.01394710,71.70,6.078755,2.712740,1.237030,0,0,0
0.01411259,70.86,11.082400,0.655759,1.564104,1,0,0
0.01428005,70.03,2.224706,0.166236,0.094384,0,0,0
0.01444949,69.21,1.466216,0.095581,0.322494,0,0,0
0.01462094,68.40,0.869120,0.998365,1.214635,0,0,0
0.01479443,67.59,2.545125,2.808638,1.118335,0,0,0
0.01496997,66.80,2.168115,2.463901,0.307325,0,0,0
0.01514760,66.02,2.994612,0.174262,0.424816,0,0,0
0.01532734,65.24,9.020451,0.764430,0.045434,0,0,0
0.01550921,64.48,13.013694,2.166841,1.430634,1,0,0
0.01569323,63.72,2.607335,3.562635,1.690895,0,0,0
0.01587944,62.97,11.638811,1.518453,0.935643,1,0,0
0.01606786,62.24,2.908901,2.412194,0.534996,0,0,0
0.01625852,61.51,0.585461,1.288588,1.670165,0,0,0
0.01645144,60.78,4.050037,0.984767,0.250939,0,0,0
0.01664664,60.07,0.052843,1.749481,1.314391,0,0,0
0.01684417,59.37,5.852603,1.020251,0.869394,0,0,0
0.01704403,58.67,0.317154,0.389434,0.814897,0,0,0
0.01724627,57.98,0.077886,6.369479,4.457980,0,0,0
0.01745091,57.30,3.648356,4.518149,4.682085,0,0,0
0.01765798,56.63,5.029641,1.853111,1.377798,0,0,0
0.01786750,55.97,2.234491,2.086631,2.166011,0,0,0
0.01807951,55.31,1.634683,9.599100,8.245357,0,0,0
0.01829403,54.66,0.070512,0.219878,0.256776,0,0,0
0.01851111,54.02,0.406521,34.229604,29.510222,0,1,1
0.01873075,53.39,0.944871,9.104931,5.718580,0,0,0
0.01895300,52.76,0.298827,0.565808,0.283215,0,0,0
0.01917789,52.14,1.226310,1.205984,1.505863,0,0,0
0.01940545,51.53,3.111400,0.641604,0.233048,0,0,0
0.01963571,50.93,0.304602,0.900690,0.348680,0,0,0
0.01986870,50.33,0.514474,2.635623,0.606065,0,0,0
0.02010445,49.74,3.756451,4.529133,2.740802,0,0,0
0.02034301,49.16,6.031106,0.987559,0.020041,0,0,0
0.02058439,48.58,0.304371,2.835862,0.879691,0,0,0
0.02082864,48.01,0.889531,0.386059,0.009280,0,0,0
0.02107578,47.45,0.246656,0.161063,0.154906,0,0,0
0.02132586,46.89,1.284433,1.152879,0.194765,0,0,0
0.02157891,46.34,0.671081,0.133324,0.379408,0,0,0
0.02183495,45.80,1.975474,1.438828,0.127981,0,0,0
0.02209404,45.26,3.450558,0.402443,0.233740,0,0,0
0.02235620,44.73,1.603984,0.685899,0.382552,0,0,0
0.02262147,44.21,0.867115,0.095057,0.052337,0,0,0
0.02288989,43.69,2.592731,0.681226,0.174433,0,0,0
0.02316149,43.18,2.369979,0.996499,0.396938,0,0,0
0.02343632,42.67,1.369366,0.140080,0.191582,0,0,0
